angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.19,"[795, 254, 274, 342]",0.0,0.39,0.0,0.21,0.18,0.03
0.19,"[795, 254, 274, 342]",0.0,0.39,0.0,0.21,0.18,0.03
0.18,"[794, 250, 277, 347]",0.0,0.43,0.0,0.22,0.14,0.04
0.19,"[795, 252, 276, 346]",0.0,0.41,0.0,0.2,0.18,0.02
0.18,"[795, 251, 277, 347]",0.0,0.41,0.0,0.23,0.14,0.05
0.17,"[795, 251, 275, 347]",0.0,0.41,0.0,0.23,0.14,0.05
0.17,"[795, 251, 275, 347]",0.0,0.41,0.0,0.23,0.14,0.05
0.19,"[795, 250, 277, 348]",0.0,0.4,0.0,0.21,0.15,0.05
0.18,"[795, 251, 276, 347]",0.0,0.41,0.0,0.22,0.14,0.05
0.18,"[796, 252, 276, 346]",0.0,0.45,0.0,0.18,0.14,0.04
0.18,"[796, 252, 276, 346]",0.0,0.45,0.0,0.18,0.14,0.05
0.18,"[796, 252, 276, 346]",0.0,0.45,0.0,0.18,0.14,0.05
0.08,"[792, 247, 279, 355]",0.0,0.32,0.0,0.36,0.24,0.0
0.08,"[792, 247, 279, 355]",0.0,0.32,0.0,0.37,0.24,0.0
0.18,"[797, 250, 277, 348]",0.0,0.29,0.0,0.24,0.29,0.0
0.18,"[797, 250, 277, 348]",0.0,0.29,0.0,0.24,0.29,0.0
0.18,"[797, 250, 277, 348]",0.0,0.29,0.0,0.24,0.29,0.0
0.13,"[797, 256, 273, 341]",0.0,0.28,0.0,0.33,0.24,0.01
0.13,"[797, 256, 273, 341]",0.0,0.28,0.0,0.34,0.23,0.01
0.14,"[797, 255, 273, 342]",0.0,0.35,0.0,0.29,0.18,0.03
0.13,"[795, 251, 276, 348]",0.0,0.37,0.0,0.31,0.16,0.03
0.12,"[795, 253, 275, 345]",0.0,0.33,0.0,0.33,0.19,0.03
0.2,"[796, 251, 276, 349]",0.0,0.35,0.0,0.24,0.19,0.03
0.16,"[795, 251, 276, 349]",0.0,0.39,0.0,0.25,0.17,0.03
0.22,"[796, 251, 276, 349]",0.0,0.33,0.0,0.24,0.19,0.03
0.22,"[796, 251, 276, 349]",0.0,0.32,0.0,0.24,0.19,0.03
0.22,"[796, 251, 276, 349]",0.0,0.32,0.0,0.24,0.19,0.03
0.21,"[797, 254, 275, 346]",0.0,0.32,0.0,0.24,0.22,0.02
0.21,"[797, 254, 275, 346]",0.0,0.31,0.0,0.24,0.22,0.02
0.2,"[785, 249, 281, 358]",0.0,0.23,0.0,0.43,0.11,0.03
0.2,"[785, 249, 281, 358]",0.0,0.23,0.0,0.43,0.11,0.03
0.2,"[785, 249, 281, 358]",0.0,0.23,0.0,0.43,0.11,0.03
0.17,"[787, 250, 280, 359]",0.0,0.24,0.0,0.43,0.12,0.04
0.18,"[787, 250, 280, 359]",0.0,0.25,0.0,0.42,0.12,0.04
0.14,"[790, 249, 278, 359]",0.0,0.36,0.0,0.34,0.12,0.03
0.14,"[790, 249, 278, 359]",0.0,0.36,0.0,0.34,0.13,0.03
0.14,"[790, 249, 278, 359]",0.0,0.36,0.0,0.34,0.13,0.03
0.19,"[789, 249, 279, 359]",0.0,0.4,0.0,0.25,0.09,0.07
0.18,"[789, 249, 279, 359]",0.0,0.41,0.0,0.25,0.09,0.07
0.1,"[790, 253, 281, 359]",0.0,0.51,0.0,0.07,0.04,0.28
0.1,"[790, 253, 280, 359]",0.0,0.51,0.0,0.07,0.03,0.28
0.1,"[790, 253, 280, 359]",0.0,0.51,0.0,0.07,0.03,0.28
0.19,"[790, 249, 280, 360]",0.0,0.51,0.0,0.1,0.06,0.14
0.19,"[790, 249, 280, 360]",0.0,0.5,0.0,0.1,0.06,0.14
0.07,"[791, 253, 279, 357]",0.0,0.54,0.0,0.03,0.02,0.35
0.07,"[791, 253, 279, 357]",0.0,0.54,0.0,0.03,0.02,0.35
0.07,"[791, 253, 279, 357]",0.0,0.54,0.0,0.03,0.02,0.35
0.05,"[790, 254, 279, 356]",0.0,0.45,0.0,0.01,0.01,0.49
0.05,"[790, 254, 279, 356]",0.0,0.45,0.0,0.01,0.01,0.49
0.04,"[790, 253, 280, 359]",0.0,0.34,0.0,0.0,0.0,0.61
0.04,"[789, 252, 280, 359]",0.0,0.33,0.0,0.01,0.0,0.61
0.04,"[789, 252, 281, 360]",0.0,0.37,0.0,0.01,0.0,0.58
0.05,"[790, 253, 279, 358]",0.0,0.3,0.0,0.0,0.0,0.64
0.05,"[790, 253, 279, 358]",0.0,0.3,0.0,0.0,0.0,0.65
0.07,"[790, 252, 282, 360]",0.0,0.3,0.0,0.01,0.0,0.61
0.07,"[790, 252, 282, 360]",0.0,0.3,0.0,0.01,0.0,0.6
0.07,"[790, 252, 282, 360]",0.0,0.3,0.0,0.01,0.0,0.6
0.08,"[787, 249, 281, 352]",0.0,0.24,0.0,0.0,0.0,0.67
0.08,"[787, 249, 282, 352]",0.0,0.23,0.0,0.0,0.0,0.68
0.18,"[790, 251, 273, 346]",0.0,0.27,0.0,0.01,0.01,0.54
0.18,"[790, 251, 273, 346]",0.0,0.27,0.0,0.01,0.01,0.54
0.18,"[790, 251, 273, 346]",0.0,0.27,0.0,0.01,0.01,0.54
0.07,"[785, 246, 283, 348]",0.0,0.16,0.0,0.0,0.0,0.76
0.13,"[784, 243, 286, 351]",0.0,0.15,0.0,0.01,0.01,0.7
0.39,"[793, 234, 274, 358]",0.0,0.13,0.13,0.03,0.02,0.29
0.36,"[793, 235, 274, 357]",0.0,0.13,0.12,0.03,0.02,0.33
0.36,"[793, 235, 274, 357]",0.0,0.13,0.12,0.03,0.02,0.34
0.05,"[788, 238, 266, 342]",0.0,0.04,0.86,0.01,0.0,0.04
0.06,"[788, 238, 265, 341]",0.0,0.05,0.82,0.01,0.0,0.05
0.0,"[786, 232, 274, 352]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[787, 233, 273, 351]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[787, 233, 273, 351]",0.0,0.0,0.99,0.0,0.0,0.01
0.01,"[790, 228, 263, 347]",0.0,0.01,0.97,0.0,0.0,0.01
0.01,"[790, 228, 263, 347]",0.0,0.01,0.97,0.0,0.0,0.01
0.01,"[788, 228, 266, 350]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[786, 231, 274, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[786, 231, 274, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.01,"[786, 222, 268, 358]",0.0,0.01,0.98,0.0,0.0,0.0
0.0,"[787, 222, 267, 358]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[801, 233, 253, 337]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[800, 233, 256, 338]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[800, 233, 256, 338]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[798, 232, 256, 338]",0.0,0.0,0.99,0.0,0.0,0.0
